,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
67,6895000.0,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
68,6860000.0,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
69,6790000.0,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
70,6790000.0,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
71,6755000.0,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
72,6755000.0,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
73,6685000.0,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
74,6650000.0,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
75,6650000.0,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
76,6650000.0,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
77,6650000.0,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
78,6650000.0,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
79,6650000.0,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
80,6629000.0,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
81,6615000.0,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
82,6615000.0,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
83,6580000.0,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
84,6510000.0,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
85,6510000.0,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
86,6510000.0,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
87,6475000.0,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
88,6475000.0,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
89,6440000.0,8580,5,3,2,yes,no,no,no,no,2,no,furnished
90,6440000.0,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
91,6419000.0,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
92,6405000.0,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
93,6300000.0,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
94,6300000.0,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
95,6300000.0,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
96,6300000.0,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
97,6300000.0,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
98,6293000.0,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
99,6265000.0,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
100,6230000.0,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
101,6230000.0,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
102,6195000.0,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
103,6195000.0,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
104,6195000.0,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
105,6160000.0,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
106,6160000.0,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
107,6160000.0,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
108,6107500.0,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
109,6090000.0,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
110,6090000.0,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
111,6090000.0,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
112,6083000.0,4300,6,2,2,yes,no,no,no,no,0,no,furnished
113,6083000.0,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
114,6020000.0,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
115,6020000.0,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
116,6020000.0,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
117,5950000.0,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
118,5950000.0,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
119,5950000.0,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
120,5950000.0,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
121,5950000.0,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
122,5950000.0,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
123,5950000.0,7320,4,2,2,yes,no,no,no,no,0,no,furnished
124,5950000.0,6525,3,2,4,yes,no,no,no,no,1,no,furnished
125,5943000.0,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
126,5880000.0,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
127,5880000.0,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
128,5873000.0,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
129,5873000.0,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
130,5866000.0,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
131,5810000.0,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
132,5810000.0,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
133,5810000.0,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
134,5803000.0,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
135,5775000.0,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
136,5740000.0,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
137,5740000.0,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
138,5740000.0,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
139,5740000.0,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
140,5740000.0,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
141,5652500.0,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
142,5652500.0,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
143,5600000.0,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
144,5600000.0,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
145,5600000.0,5000,3,1,4,yes,no,no,no,no,0,no,furnished
146,5600000.0,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
147,5600000.0,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
148,5600000.0,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
149,5600000.0,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
150,5600000.0,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
151,5565000.0,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
152,5565000.0,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
153,5530000.0,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
154,5530000.0,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
155,5530000.0,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
156,5523000.0,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
157,5495000.0,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
158,5495000.0,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
159,5460000.0,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
160,5460000.0,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
161,5460000.0,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
162,5460000.0,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
163,5425000.0,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
164,5390000.0,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
165,5390000.0,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
166,5320000.0,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
167,5285000.0,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
168,5250000.0,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
169,5250000.0,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
170,5250000.0,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
171,5250000.0,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
172,5250000.0,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
173,5250000.0,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
174,5250000.0,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
175,5250000.0,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
176,5250000.0,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
177,5243000.0,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
178,5229000.0,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
179,5215000.0,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
180,5215000.0,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
181,5215000.0,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
182,5145000.0,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
183,5145000.0,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
184,5110000.0,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
185,5110000.0,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
186,5110000.0,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
187,5110000.0,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
188,5075000.0,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
189,5040000.0,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
190,5040000.0,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
191,5040000.0,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
192,5040000.0,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
193,5033000.0,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
194,5005000.0,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
195,4970000.0,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
196,4970000.0,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
197,4956000.0,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
198,4935000.0,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
199,4907000.0,4200,3,1,2,yes,no,no,no,no,1,no,furnished
200,4900000.0,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
201,4900000.0,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
202,4900000.0,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
203,4900000.0,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
204,4900000.0,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
205,4900000.0,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
206,4900000.0,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
207,4900000.0,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
208,4900000.0,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
209,4900000.0,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
210,4900000.0,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
211,4900000.0,12900,3,1,1,yes,no,no,no,no,2,no,furnished
212,4893000.0,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
213,4893000.0,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
214,4865000.0,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
215,4830000.0,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
216,4830000.0,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
217,4830000.0,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
218,4830000.0,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
219,4795000.0,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
220,4795000.0,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
221,4767000.0,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
222,4760000.0,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
223,4760000.0,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
224,4760000.0,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
225,4760000.0,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
226,4690000.0,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
227,4690000.0,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
228,4690000.0,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
229,4690000.0,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
230,4690000.0,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
231,4690000.0,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
232,4655000.0,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
233,4620000.0,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
234,4620000.0,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
235,4620000.0,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
236,4620000.0,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
237,4620000.0,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
238,4613000.0,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
239,4585000.0,4000,3,1,2,yes,no,no,no,no,1,no,furnished
240,4585000.0,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
241,4550000.0,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
242,4550000.0,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
243,4550000.0,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
244,4550000.0,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
245,4550000.0,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
246,4550000.0,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
247,4550000.0,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
248,4543000.0,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
249,4543000.0,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
250,4515000.0,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
251,4515000.0,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
252,4515000.0,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
253,4515000.0,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
254,4480000.0,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
255,4480000.0,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
256,4480000.0,4000,3,1,2,yes,no,no,no,no,2,no,furnished
257,4480000.0,8250,3,1,1,yes,no,no,no,no,0,no,furnished
258,4480000.0,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
259,4480000.0,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
260,4473000.0,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
261,4473000.0,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
262,4445000.0,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
263,4410000.0,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
264,4410000.0,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
265,4403000.0,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
266,4403000.0,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
267,4403000.0,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
268,4382000.0,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
269,4375000.0,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
270,4340000.0,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
271,4340000.0,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
272,4340000.0,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
273,4340000.0,3500,4,1,2,yes,no,no,no,no,2,no,furnished
274,4340000.0,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
275,4319000.0,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
276,4305000.0,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
277,4305000.0,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
278,4277000.0,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
279,4270000.0,6360,2,1,1,yes,no,no,no,no,0,no,furnished
280,4270000.0,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
281,4270000.0,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
282,4270000.0,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
283,4270000.0,4360,4,1,2,yes,no,no,no,no,0,no,furnished
284,4270000.0,7770,2,1,1,yes,no,no,no,no,1,no,furnished
285,4235000.0,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
286,4235000.0,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
287,4200000.0,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
288,4200000.0,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
289,4200000.0,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
290,4200000.0,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
291,4200000.0,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
292,4200000.0,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
293,4200000.0,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
294,4200000.0,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
295,4200000.0,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
296,4200000.0,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
297,4200000.0,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
298,4200000.0,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
299,4200000.0,7000,3,1,1,yes,no,no,no,no,3,no,furnished
300,4200000.0,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
301,4200000.0,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
302,4200000.0,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
303,4200000.0,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
304,4193000.0,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
305,4193000.0,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
306,4165000.0,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
307,4165000.0,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
308,4165000.0,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
309,4130000.0,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
310,4130000.0,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
311,4123000.0,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
312,4098500.0,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
313,4095000.0,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
314,4095000.0,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
315,4095000.0,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
316,4095000.0,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
317,4060000.0,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
318,4060000.0,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
319,4060000.0,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
320,4060000.0,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
321,4025000.0,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
322,4025000.0,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
323,4025000.0,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
324,4007500.0,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
325,4007500.0,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
326,3990000.0,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
327,3990000.0,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
328,3990000.0,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
329,3990000.0,3960,3,1,2,yes,no,no,no,no,0,no,furnished
330,3990000.0,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
331,3920000.0,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
332,3920000.0,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
333,3920000.0,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
334,3920000.0,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
335,3920000.0,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
336,3920000.0,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
337,3920000.0,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
338,3885000.0,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
339,3885000.0,3180,4,2,2,yes,no,no,no,no,0,no,furnished
340,3850000.0,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
341,3850000.0,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
342,3850000.0,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
343,3850000.0,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
344,3850000.0,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
345,3850000.0,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
346,3850000.0,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
347,3836000.0,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
348,3815000.0,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
349,3780000.0,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
350,3780000.0,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
351,3780000.0,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
